number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,Ri,PFR_up_Flag,PFR_dn_Flag,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,PFR_up_Price,PFR_dn_Price,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run,Flexibility,RTPlanCommit
3,Kahului3,103,3,12,0.2,0.2,Gas,1,24,8,500,0,234.4631851,0.5,15,15,147.0179753,5.146464646,148.5221494,7.292929293,150.0263235,9.439393939,151.5004141,11.5,0.44345898,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
4,Kahului4,104,3,12.8,0.2,0.2,Gas,1,24,8,500,0,251.0696604,1,15,15,139.4643998,5.146464646,155.3975031,7.292929293,171.3306064,9.439393939,186.9450477,11.5,0.383877159,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
5,Maalaea01,105,2.5,2.75,0.2,0.2,Gas,0,24,0,500,0,206.9888793,2,15,15,206.9888793,2.5,0,2.5,0,2.5,0,2.5,0.697674419,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
6,Maalaea02,105,2.5,2.75,0.2,0.2,Gas,0,24,0,500,0,206.9888994,2,15,15,206.9888994,2.5,0,2.5,0,2.5,0,2.5,0.697674419,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
7,Maalaea03,105,2.5,2.75,0.2,0.2,Gas,0,24,0,500,0,206.9889196,2,15,15,206.9889196,2.5,0,2.5,0,2.5,0,2.5,0.697674419,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
8,Maalaea04,106,1.86,6.16,0.2,0.2,Gas,1,24,2,500,0,238.742755,1,15,15,147.3086324,2.781717172,173.5538469,3.703434343,199.7990615,4.625151515,225.5193717,5.51,0.342857143,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
9,Maalaea05,106,1.86,6.16,0.2,0.2,Gas,0,24,0,500,0,238.742755,1,15,15,147.3086324,2.781717172,173.5538469,3.703434343,199.7990615,4.625151515,225.5193717,5.51,0.342857143,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
10,Maalaea06,106,1.86,6.16,0.2,0.2,Gas,0,24,0,500,0,238.742755,1,15,15,147.3086324,2.781717172,173.5538469,3.703434343,199.7990615,4.625151515,225.5193717,5.51,0.342857143,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
11,Maalaea07,107,1.86,6.16,0.2,0.2,Gas,0,24,0,500,0,238.742755,1,15,15,147.3086324,2.781717172,173.5538469,3.703434343,199.7990615,4.625151515,225.5193717,5.51,0.471428571,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
12,Maalaea08,107,1.86,6.16,0.2,0.2,Gas,1,24,5,500,0,224.7628159,1,15,15,164.3121482,2.774141414,172.9529426,3.688282828,181.593737,4.602424242,190.0617155,5.48,0.471428571,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
13,Maalaea09,107,1.86,6.16,0.2,0.2,Gas,1,24,5,500,0,227.8753919,1,15,15,145.5183791,2.774141414,166.5847786,3.688282828,187.6511781,4.602424242,208.2962497,5.48,0.471428571,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
14,Maalaea10,108,7.87,13.75,0.2,0.2,Gas,0,24,0,500,0,181.7769178,1,15,15,176.1123226,8.998787879,181.9321645,10.12757576,187.7520064,11.25636364,193.4554515,12.34,0.172744722,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
15,Maalaea11,108,7.87,13.75,0.2,0.2,Gas,0,24,0,500,0,181.7769178,1,5,15,176.1123226,8.998787879,181.9321645,10.12757576,187.7520064,11.25636364,193.4554515,12.34,0.172744722,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
16,Maalaea12,109,7.87,13.75,0.2,0.2,Gas,0,24,0,500,0,181.7769178,1,15,15,176.1123226,8.998787879,181.9321645,10.12757576,187.7520064,11.25636364,193.4554515,12.34,0.211132438,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
17,Maalaea13,109,7.87,13.75,0.2,0.2,Gas,0,24,0,500,0,181.7769178,1,15,15,176.1123226,8.998787879,181.9321645,10.12757576,187.7520064,11.25636364,193.4554515,12.34,0.211132438,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
18,MaalaeaX1,110,2.5,2.75,0.2,0.2,Gas,0,24,0,500,0,206.9888391,2,15,15,206.9888391,2.5,0,2.5,0,2.5,0,2.5,1.744186047,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
19,MaalaeaX2,110,2.5,2.75,0.2,0.2,Gas,0,24,0,500,0,206.9888592,2,15,15,206.9888592,2.5,0,2.5,0,2.5,0,2.5,1.744186047,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
20,Maalaea14cc,301,5.88,21.45,0.2,0.2,Gas,0,24,0,500,0,374.3986655,2,15,15,133.0966088,9.731010101,153.5534459,13.5820202,174.010283,17.4330303,194.0579833,21.13,0.089518836,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
21,Maalaea15cc,303,3.7318,15,0.2,0.2,Gas,1,24,4,1000,0,562.8069343,2,15,15,426.1258687,6.168466667,436.3285854,8.605133333,446.5313021,11.0418,456.5299645,13.381,0.12972973,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
22,Maalaea16cc,302,5.88,21.45,0.2,0.2,Gas,1,24,6,500,0,374.3986655,2,15,15,133.0966088,9.731010101,153.5534459,13.5820202,174.010283,17.4330303,194.0579833,21.13,0.089518836,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
23,Maalaea17cc,304,5.93,21.45,0.2,0.2,Gas,1,24,6,500,0,325.9684814,2,15,15,168.5102857,9.855353535,170.3501464,13.78070707,172.1900071,17.70606061,173.9930706,21.4744,0.089518836,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
24,Maalaea18cc,306,2.964282,14.8,0.2,0.2,Gas,1,24,3,500,0,749.3498013,2,15,15,344.0335785,5.496857758,377.1423509,8.029433515,410.2511232,10.56200927,442.6977202,12.993282,0.12972973,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
25,Maalaea19cc,305,5.93,21.45,0.2,0.2,Gas,1,24,5.93,500,0,325.9684814,2,15,15,168.5102859,9.855354293,170.350147,13.78070859,172.190008,17.70606288,173.9930719,21.474403,0.089518836,1,0,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0,0,1
26,AWE1,92031,0,10.5,0,0,Wind-2,1,24,0.35,0,0,0,2,0,0,0,10.5,0,10.5,0,10.5,0,10.5,0.003,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
27,AWE2,92032,0,10.5,0,0,Wind-2,1,24,0.35,0,0,0,2,0,0,0,10.5,0,10.5,0,10.5,0,10.5,0.003,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
28,KWP1,90971,0,30,0,0,Wind-2,1,24,28.2,0,0,0,2,0,0,0,30,0,30,0,30,0,30,0.004,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
29,KWP2,92061,0,21,0,0,Wind-2,1,24,20.7,0,0,0,2,0,0,0,21,0,21,0,21,0,21,0.004,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
30,SMRR1,95000,0,2.87,0,0,PV-2,1,24,0,0,0,0,2,0,0,0,2.87,0,2.87,0,2.87,0,2.87,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.005,0.01,0.01,0,0,1
31,SMRR2,96000,0,2.87,0,0,PV-2,1,24,0,0,0,0,2,0,0,0,2.87,0,2.87,0,2.87,0,2.87,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.004,0.01,0.01,0,0,1
32,M014,1203,0,15,0,0,PV-2,1,24,0,0,0,0,2,0,0,0,15,0,15,0,15,0,15,0.125588697,0,0,0,0,1,1,0.001,0.001,0.001,0.003,0.01,0.01,0,0,1
