hour,AWE1,AWE2,KWP1,KWP2,SMRR1,SMRR2,M014,M0041,M0042,DPV1,DPV2,DPV3,DPV4,DPV5,DPV6,DPV7,DPV8,DPV9,DPV10,DPV11,DPV12,DPV13,DPV14,DPV15,DPV16,DPV17,DPV18,DPV19,DPV20,DPV21,DPV22,DPV23,DPV24,DPV25,DPV26,DPV27,DPV28,DPV29,DPV30,DPV31,DPV32,DPV33,DPV34,DPV35,DPV36,DPV37,DPV38,DPV39,DPV40,DPV41,DPV42,DPV43,DPV44,DPV45,DPV46,DPV47,DPV48,DPV49,DPV50,DPV51,DPV52,DPV53,DPV54,DPV55,DPV56,DPV57,DPV58,DPV59,DPV60,DPV61
1,0.425,0.425,28.24583333,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.307,0.307,28.346,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.801818182,1.801818182,28.35363636,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.558363636,4.558363636,28.25327273,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.61509091,6.61509091,28.29418182,20.55872727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8.555,8.555,28.4,20.54236364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10.21518182,10.21518182,28.35218182,20.31745455,0,0,0.03756008,0.075120159,0.075120159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10.45,10.45,28.10727273,19.99636364,0.134909091,0.134909091,1.225366078,2.450732155,2.450732155,0.136729505,0.021916474,0.111308488,0.070143178,0.129720418,0.049011303,0.136729505,0.038497672,0.251594843,0.080499889,0.227167652,0.002563024,0.00418453,0.190553017,0.034260836,0.033319317,0.01082747,0.027460976,0.058478801,0.39402577,0.078250704,0.139501756,0.003452237,0.095407275,0.129563498,0.137409491,1.03985561,0.004864516,0.023747206,0.075635373,0.676899972,0.041426843,0.034260836,0.068260139,0.197248265,0.040537631,0.093733463,0.061669505,0.307196781,0.015953519,0.072183136,0.078512237,0.068887819,0.027931735,0.087561282,0.083481366,0.162987429,0.177162523,0.089548934,0.08233062,0.043571415,0.035097742,0.017836558,0.208337268,0.070143178,0.39402577,0.093733463,0.124855902,0.12815122,0.083481366,0.0971857
9,10.45,10.45,24.89018182,17.76981818,0.690209091,0.690209091,4.651483917,9.302967833,9.302967833,0.683975415,0.109634927,0.556809366,0.350884098,0.648913171,0.245174049,0.683975415,0.192580683,1.258577561,0.402692488,1.136383024,0.012821268,0.020932683,0.953222049,0.171386341,0.166676488,0.054163317,0.137370732,0.292534244,1.971073756,0.391441171,0.697843317,0.017269463,0.477265171,0.648128195,0.687376976,5.201771708,0.024334244,0.118792976,0.378358244,3.386123122,0.207233561,0.171386341,0.34146439,0.986714341,0.202785366,0.468892098,0.308495415,1.536720585,0.079805854,0.361088781,0.392749463,0.344604293,0.139725659,0.43801639,0.417607024,0.815328,0.886237463,0.447959415,0.411850537,0.217961561,0.175572878,0.089225561,1.042185951,0.350884098,1.971073756,0.468892098,0.624578927,0.641063415,0.417607024,0.486161561
10,10.45,10.45,13.23872727,9.675454546,1.455136364,1.455136364,8.688814324,17.37762864,17.37762864,1.47172754,0.2359043,1.198101073,0.755006362,1.396283205,0.527547324,1.47172754,0.414380822,2.708113798,0.866483812,2.445184662,0.027587854,0.045041394,2.051072467,0.368776411,0.358642098,0.116544606,0.295584146,0.629453477,4.241210237,0.842274063,1.501567463,0.03715915,1.026943777,1.394594153,1.479046767,11.19278634,0.05236062,0.25560991,0.814123192,7.286008453,0.445909798,0.368776411,0.734737735,2.123138697,0.436338502,1.00892722,0.66379754,3.306601317,0.171720314,0.776964042,0.84508915,0.741493944,0.300651303,0.942491164,0.898575805,1.754362286,1.906940007,0.963885826,0.886189422,0.468993512,0.377784689,0.191988941,2.24249839,0.755006362,4.241210237,1.00892722,1.343922586,1.379392683,0.898575805,1.046086369
