interval,time,PFRup,PFRdn,AGCup,AGCdn
1,00:00:00,,,,
2,00:00:05,,,,
3,00:00:10,,,,
4,00:00:15,,,,
5,00:00:20,,,,
6,00:00:25,,,,
7,00:00:30,,,,
8,00:00:35,,,,
9,00:00:40,,,,
10,00:00:45,,,,
11,00:00:50,,,,
12,00:00:55,,,,
13,00:01:00,,,,
14,00:01:05,,,,
15,00:01:10,,,,
16,00:01:15,,,,
17,00:01:20,,,,
18,00:01:25,,,,
19,00:01:30,,,,
20,00:01:35,,,,
21,00:01:40,,,,
22,00:01:45,,,,
23,00:01:50,,,,
24,00:01:55,,,,
25,00:02:00,,,,
26,00:02:05,,,,
27,00:02:10,,,,
28,00:02:15,,,,
29,00:02:20,,,,
30,00:02:25,,,,
31,00:02:30,,,,
32,00:02:35,,,,
33,00:02:40,,,,
34,00:02:45,,,,
35,00:02:50,,,,
36,00:02:55,,,,
37,00:03:00,,,,
38,00:03:05,,,,
39,00:03:10,,,,
40,00:03:15,,,,
41,00:03:20,,,,
42,00:03:25,,,,
43,00:03:30,,,,
44,00:03:35,,,,
45,00:03:40,,,,
46,00:03:45,,,,
47,00:03:50,,,,
48,00:03:55,,,,
49,00:04:00,,,,
50,00:04:05,,,,
51,00:04:10,,,,
52,00:04:15,,,,
53,00:04:20,,,,
54,00:04:25,,,,
55,00:04:30,,,,
56,00:04:35,,,,
57,00:04:40,,,,
58,00:04:45,,,,
59,00:04:50,,,,
60,00:04:55,,,,
61,00:05:00,,,,
62,00:05:05,,,,
63,00:05:10,,,,
64,00:05:15,,,,
65,00:05:20,,,,
66,00:05:25,,,,
67,00:05:30,,,,
68,00:05:35,,,,
69,00:05:40,,,,
70,00:05:45,,,,
71,00:05:50,,,,
72,00:05:55,,,,
73,00:06:00,,,,
74,00:06:05,,,,
75,00:06:10,,,,
76,00:06:15,,,,
77,00:06:20,,,,
78,00:06:25,,,,
79,00:06:30,,,,
80,00:06:35,,,,
81,00:06:40,,,,
82,00:06:45,,,,
83,00:06:50,,,,
84,00:06:55,,,,
85,00:07:00,,,,
86,00:07:05,,,,
87,00:07:10,,,,
88,00:07:15,,,,
89,00:07:20,,,,
90,00:07:25,,,,
91,00:07:30,,,,
92,00:07:35,,,,
93,00:07:40,,,,
94,00:07:45,,,,
95,00:07:50,,,,
96,00:07:55,,,,
97,00:08:00,,,,
98,00:08:05,,,,
99,00:08:10,,,,
100,00:08:15,,,,
101,00:08:20,,,,
102,00:08:25,,,,
103,00:08:30,,,,
104,00:08:35,,,,
105,00:08:40,,,,
106,00:08:45,,,,
107,00:08:50,,,,
108,00:08:55,,,,
109,00:09:00,,,,
110,00:09:05,,,,
111,00:09:10,,,,
112,00:09:15,,,,
113,00:09:20,,,,
114,00:09:25,,,,
115,00:09:30,,,,
116,00:09:35,,,,
117,00:09:40,,,,
118,00:09:45,,,,
119,00:09:50,,,,
120,00:09:55,,,,
121,00:10:00,,,,
122,00:10:05,,,,
123,00:10:10,,,,
124,00:10:15,,,,
125,00:10:20,,,,
126,00:10:25,,,,
127,00:10:30,,,,
128,00:10:35,,,,
129,00:10:40,,,,
130,00:10:45,,,,
131,00:10:50,,,,
132,00:10:55,,,,
133,00:11:00,,,,
134,00:11:05,,,,
135,00:11:10,,,,
136,00:11:15,,,,
137,00:11:20,,,,
138,00:11:25,,,,
139,00:11:30,,,,
140,00:11:35,,,,
141,00:11:40,,,,
142,00:11:45,,,,
143,00:11:50,,,,
144,00:11:55,,,,
145,00:12:00,,,,
146,00:12:05,,,,
147,00:12:10,,,,
148,00:12:15,,,,
149,00:12:20,,,,
150,00:12:25,,,,
151,00:12:30,,,,
152,00:12:35,,,,
153,00:12:40,,,,
154,00:12:45,,,,
155,00:12:50,,,,
156,00:12:55,,,,
157,00:13:00,,,,
158,00:13:05,,,,
159,00:13:10,,,,
160,00:13:15,,,,
161,00:13:20,,,,
162,00:13:25,,,,
163,00:13:30,,,,
164,00:13:35,,,,
165,00:13:40,,,,
166,00:13:45,,,,
167,00:13:50,,,,
168,00:13:55,,,,
169,00:14:00,,,,
170,00:14:05,,,,
171,00:14:10,,,,
172,00:14:15,,,,
173,00:14:20,,,,
174,00:14:25,,,,
175,00:14:30,,,,
176,00:14:35,,,,
177,00:14:40,,,,
178,00:14:45,,,,
179,00:14:50,,,,
180,00:14:55,,,,
181,00:15:00,,,,
182,00:15:05,,,,
183,00:15:10,,,,
184,00:15:15,,,,
185,00:15:20,,,,
186,00:15:25,,,,
187,00:15:30,,,,
188,00:15:35,,,,
189,00:15:40,,,,
