interval,time,XP_BESS,M014_BESS,M0041_BESS,M0042_BESS,ESS2
1,0:00:00,0,0,0,0,0
2,0:00:05,0,0,0,0,0
3,0:00:10,0,0,0,0,0
4,0:00:15,0,0,0,0,0
5,0:00:20,0,0,0,0,0
6,0:00:25,0,0,0,0,0
7,0:00:30,0,0,0,0,0
8,0:00:35,0,0,0,0,0
9,0:00:40,0,0,0,0,0
10,0:00:45,0,0,0,0,0
11,0:00:50,0,0,0,0,0
12,0:00:55,0,0,0,0,0
13,0:01:00,0,0,0,0,0
14,0:01:05,0,0,0,0,0
15,0:01:10,0,0,0,0,0
16,0:01:15,0,0,0,0,0
17,0:01:20,0,0,0,0,0
18,0:01:25,0,0,0,0,0
19,0:01:30,0,0,0,0,0
20,0:01:35,0,0,0,0,0
21,0:01:40,0,0,0,0,0
22,0:01:45,0,0,0,0,0
23,0:01:50,0,0,0,0,0
24,0:01:55,0,0,0,0,0
25,0:02:00,0,0,0,0,0
26,0:02:05,0,0,0,0,0
27,0:02:10,1,1,1,1,1
28,0:02:15,1,1,1,1,1
29,0:02:20,1,1,1,1,1
30,0:02:25,1,1,1,1,1
31,0:02:30,1,1,1,1,1
32,0:02:35,1,1,1,1,1
33,0:02:40,1,1,1,1,1
34,0:02:45,1,1,1,1,1
35,0:02:50,1,1,1,1,1
36,0:02:55,1,1,1,1,1
37,0:03:00,1,1,1,1,1
38,0:03:05,1,1,1,1,1
39,0:03:10,1,1,1,1,1
40,0:03:15,1,1,1,1,1
41,0:03:20,1,1,1,1,1
42,0:03:25,1,1,1,1,1
43,0:03:30,1,1,1,1,1
44,0:03:35,0,0,0,0,0
45,0:03:40,0,0,0,0,0
46,0:03:45,0,0,0,0,0
47,0:03:50,0,0,0,0,0
48,0:03:55,0,0,0,0,0
49,0:04:00,0,0,0,0,0
50,0:04:05,0,0,0,0,0
51,0:04:10,0,0,0,0,0
52,0:04:15,0,0,0,0,0
53,0:04:20,0,0,0,0,0
54,0:04:25,0,0,0,0,0
55,0:04:30,0,0,0,0,0
56,0:04:35,0,0,0,0,0
57,0:04:40,0,0,0,0,0
58,0:04:45,0,0,0,0,0
59,0:04:50,0,0,0,0,0
60,0:04:55,0,0,0,0,0
61,0:05:00,0,0,0,0,0
62,0:05:05,0,0,0,0,0
63,0:05:10,0,0,0,0,0
64,0:05:15,0,0,0,0,0
65,0:05:20,0,0,0,0,0
66,0:05:25,0,0,0,0,0
67,0:05:30,0,0,0,0,0
68,0:05:35,0,0,0,0,0
69,0:05:40,0,0,0,0,0
70,0:05:45,0,0,0,0,0
71,0:05:50,0,0,0,0,0
72,0:05:55,0,0,0,0,0
73,0:06:00,0,0,0,0,0
74,0:06:05,0,0,0,0,0
75,0:06:10,0,0,0,0,0
76,0:06:15,0,0,0,0,0
77,0:06:20,0,0,0,0,0
78,0:06:25,0,0,0,0,0
79,0:06:30,0,0,0,0,0
80,0:06:35,0,0,0,0,0
81,0:06:40,0,0,0,0,0
82,0:06:45,0,0,0,0,0
83,0:06:50,0,0,0,0,0
84,0:06:55,0,0,0,0,0
85,0:07:00,0,0,0,0,0
86,0:07:05,0,0,0,0,0
87,0:07:10,0,0,0,0,0
88,0:07:15,0,0,0,0,0
89,0:07:20,0,0,0,0,0
90,0:07:25,0,0,0,0,0
91,0:07:30,0,0,0,0,0
92,0:07:35,0,0,0,0,0
93,0:07:40,0,0,0,0,0
94,0:07:45,0,0,0,0,0
95,0:07:50,0,0,0,0,0
96,0:07:55,0,0,0,0,0
97,0:08:00,0,0,0,0,0
98,0:08:05,0,0,0,0,0
99,0:08:10,0,0,0,0,0
100,0:08:15,0,0,0,0,0
101,0:08:20,0,0,0,0,0
102,0:08:25,0,0,0,0,0
103,0:08:30,0,0,0,0,0
104,0:08:35,0,0,0,0,0
105,0:08:40,0,0,0,0,0
106,0:08:45,0,0,0,0,0
107,0:08:50,0,0,0,0,0
108,0:08:55,0,0,0,0,0
109,0:09:00,0,0,0,0,0
110,0:09:05,0,0,0,0,0
111,0:09:10,0,0,0,0,0
